id,label,comment,domains,ranges
requiresSubscription,Requires Subscription,"Indicates if use of the media require a subscription  (either paid or free). Allowed values are <code>true</code> or <code>false</code> (note that an earlier version had 'yes', 'no').",MediaObject,Boolean
priceType,Price Type,"A short text or acronym indicating multiple price specifications for the same offer, e.g. SRP for the suggested retail price or INVOICE for the invoice price, mostly used in the car industry.",UnitPriceSpecification,Text
numberOfEpisodes,Number of Episodes,The number of episodes in this season or series.,Series Season,Number
nutrition,Nutrition,Nutrition information about the recipe.,Recipe,NutritionInformation
option,Option,A sub property of object. The options subject to this action.,ChooseAction,Text Thing
season,Season,A season in a tv/radio series.,Series,Season
partOfTVSeries,Part of TV Series,The TV series to which this episode or season belongs. (legacy form; partOfSeries is preferred),TVEpisode TVSeason TVClip,TVSeries
billingAddress,Billing Address,The billing address for the order.,Order,PostalAddress
serviceUrl,Service Url,The website to access the service.,ServiceChannel,URL
albums,Albums,"A collection of music albums (legacy spelling; see singular form, album).",MusicGroup,MusicAlbum
printColumn,Print Column,The number of the column in which the NewsArticle appears in the print edition.,NewsArticle,Text
population,Population,"Any characteristics of the population used in the study, e.g. 'males under 65'.",MedicalStudy,Text
distance,Distance,A sub property of asset. The distance travelled.,TravelAction ExerciseAction,Distance
colleagues,Colleagues,"A colleague of the person (legacy spelling; see singular form, colleague).",Person,Person
estimatesRiskOf,Estimates Risk of,"The condition, complication, or symptom whose risk is being estimated.",MedicalRiskEstimator,MedicalEntity
sensoryUnit,Sensory Unit,The neurological pathway extension that inputs and sends information to the brain or spinal cord.,Nerve,AnatomicalStructure SuperficialAnatomy
performers,Performers,"The main performer or performers of the event—for example, a presenter, musician, or actor (legacy spelling; see singular form, performer).",Event,Organization Person
preparation,Preparation,Typical preparation that a patient must undergo before having the procedure performed.,MedicalProcedure,Text
targetPopulation,Target Population,"Characteristics of the population for which this is intended, or which typically uses it, e.g. 'adults'.",DietarySupplement DoseSchedule,Text
cost,Cost,"Cost per unit of the drug, as reported by the source being tagged.",Drug,DrugCost
risks,Risks,Specific physiologic risks associated to the plan.,Diet,Text
openingHours,Opening Hours,"The opening hours for a business. Opening hours can be specified as a weekly time range, starting with days, then times per day. Multiple days can be listed with commas ',' separating each day. Day or time ranges are specified using a hyphen '-'.<br/>- Days are specified using the following two-letter combinations: <code>Mo</code>, <code>Tu</code>, <code>We</code>, <code>Th</code>, <code>Fr</code>, <code>Sa</code>, <code>Su</code>.<br/>- Times are specified using 24:00 time. For example, 3pm is specified as <code>15:00</code>. <br/>- Here is an example: <code>&lt;time itemprop=""openingHours"" datetime=""Tu,Th 16:00-20:00""&gt;Tuesdays and Thursdays 4-8pm&lt;/time&gt;</code>. <br/>- If a business is open 7 days a week, then it can be specified as <code>&lt;time itemprop=""openingHours"" datetime=""Mo-Su""&gt;Monday through Sunday, all day&lt;/time&gt;</code>.",LocalBusiness CivicStructure,Duration
outcome,Outcome,Expected or actual outcomes of the study.,MedicalStudy,Text
operatingSystem,Operating System,"Operating systems supported (Windows 7, OSX 10.6, Android 1.6).",SoftwareApplication,Text
regionsAllowed,Regions Allowed,"The regions where the media is allowed. If not specified, then it's assumed to be allowed everywhere. Specify the countries in <a href=""http://en.wikipedia.org/wiki/ISO_3166"">ISO 3166 format</a>.",MediaObject,Place
function,Function,Function of the anatomical structure.,AnatomicalStructure,Text
recognizingAuthority,Recognizing Authority,"If applicable, the organization that officially recognizes this entity as part of its endorsed system of medicine.",MedicalEntity,Organization
worstRating,Worst Rating,"The lowest value allowed in this rating system. If worstRating is omitted, 1 is assumed.",Rating,Number Text
additionalType,Additional Type,"An additional type for the item, typically used for adding more specific types from external vocabularies in microdata syntax. This is a relationship between something and a class that the thing is in. In RDFa syntax, it is better to use the native RDFa syntax - the 'typeof' attribute - for multiple types. Schema.org tools may have only weaker understanding of extra types, in particular those defined externally.",Thing,URL
educationalRole,Educational Role,An educationalRole of an EducationalAudience,EducationalAudience,Text
recipeCategory,Recipe Category,"The category of the recipe—for example, appetizer, entree, etc.",Recipe,Text
isicV4,Isic V4,"The International Standard of Industrial Classification of All Economic Activities (ISIC), Revision 4 code for a particular organization, business person, or place.",Person Place Organization,Text
isSimilarTo,Is Similar to,"A pointer to another, functionally similar product (or multiple products).",Product,Product
partOfSeason,Part of Season,The season to which this episode belongs.,Episode Clip,Season
phase,Phase,The phase of the trial.,MedicalTrial,Text
howPerformed,How Performed,How the procedure is performed.,MedicalProcedure,Text
recommendedIntake,Recommended Intake,Recommended intake of this supplement for a given population as defined by a specific recommending authority.,DietarySupplement,RecommendedDoseSchedule
transFatContent,Trans Fat Content,The number of grams of trans fat.,NutritionInformation,Mass
totalTime,Total Time,"The total time it takes to prepare and cook the recipe, in <a href=""http://en.wikipedia.org/wiki/ISO_8601"">ISO 8601 duration format</a>.",Recipe,Duration
suggestedMinAge,Suggested Min Age,Minimal age recommended for viewing content,PeopleAudience,Number
seasonNumber,Season Number,Position of the season within an ordered group of seasons.,Season,Integer
track,Track,A music recording (track)—usually a single song.,MusicPlaylist MusicGroup,MusicRecording
warrantyScope,Warranty Scope,The scope of the warranty promise.,WarrantyPromise,WarrantyScope
price,Price,"The offer price of a product, or of a price component when attached to PriceSpecification and its subtypes.",TradeAction PriceSpecification Offer,Text Number
expires,Expires,Date the content expires and is no longer useful or available. Useful for videos.,MediaObject,Date
additionalVariable,Additional Variable,"Any additional component of the exercise prescription that may need to be articulated to the patient. This may include the order of exercises, the number of repetitions of movement, quantitative distance, progressions over time, etc.",ExercisePlan,Text
device,Device,Device required to run the application. Used in cases where a specific make/model is required to run the application.,SoftwareApplication,Text
durationOfWarranty,Duration of Warranty,"The duration of the warranty promise. Common unitCode values are ANN for year, MON for months, or DAY for days.",WarrantyPromise,QuantitativeValue
minPrice,Min Price,The lowest price if the price is a range.,PriceSpecification,Number
transcript,Transcript,"If this MediaObject is an AudioObject or VideoObject, the transcript of that object.",AudioObject VideoObject,Text
costCurrency,Cost Currency,"The currency (in 3-letter <a href=""http://en.wikipedia.org/wiki/ISO_4217"">ISO 4217 format</a>) of the drug cost.",DrugCost,Text
paymentMethodId,Payment Method Id,An identifier for the method of payment used (e.g. the last 4 digits of the credit card).,Order,Text
labelDetails,Label Details,Link to the drug's label details.,Drug,URL
validFrom,Valid From,The date when the item becomes valid.,OpeningHoursSpecification Offer Demand PriceSpecification Permit,DateTime
episode,Episode,An episode of a TV/radio series or season,Series Season,Episode
subStructure,Sub Structure,Component (sub-)structure(s) that comprise this anatomical structure.,AnatomicalStructure,AnatomicalStructure
url,URL,URL of the item.,Thing,URL
alumni,Alumni,Alumni of educational organization.,EducationalOrganization,Person
sportsEvent,Sports Event,A sub property of location. The sports event where this action occurred.,ExerciseAction,SportsEvent
review,Review,A review of the item.,Organization Product CreativeWork Place Offer,Review
text,Text,The textual content of this CreativeWork.,CreativeWork,Text
businessFunction,Business Function,"The business function (e.g. sell, lease, repair, dispose) of the offer or component of a bundle (TypeAndQuantityNode). The default is http://purl.org/goodrelations/v1#Sell.",Offer TypeAndQuantityNode Demand,BusinessFunction
relatedTo,Related to,The most generic familial relation.,Person,Person
recipe,Recipe,A sub property of instrument. The recipe/instructions used to perform the action.,CookAction,Recipe
addressLocality,Address Locality,"The locality. For example, Mountain View.",PostalAddress,Text
alternativeHeadline,Alternative Headline,A secondary title of the CreativeWork.,CreativeWork,Text
keywords,Keywords,The keywords/tags used to describe this content.,CreativeWork,Text
associatedPathophysiology,Associated Pathophysiology,"If applicable, a description of the pathophysiology associated with the anatomical system, including potential abnormal changes in the mechanical, physical, and biochemical functions of the system.",SuperficialAnatomy AnatomicalSystem AnatomicalStructure,Text
targetName,Target Name,The name of a node in an established educational framework.,AlignmentObject,Text
availability,Availability,"The availability of this item—for example In stock, Out of stock, Pre-order, etc.",Offer Demand,ItemAvailability
structuralClass,Structural Class,The name given to how bone physically connects to each other.,Joint,Text
title,Title,The title of the job.,JobPosting,Text
headline,Headline,Headline of the article,CreativeWork,Text
menu,Menu,Either the actual menu or a URL of the menu.,FoodEstablishment,Text URL
dateline,Dateline,The location where the NewsArticle was produced.,NewsArticle,Text
winner,Winner,A sub property of participant. The winner of the action.,LoseAction,Person
contentRating,Content Rating,"Official rating of a piece of content—for example,'MPAA PG-13'.",CreativeWork,Text
paymentDue,Payment Due,The date that payment is due.,Order,DateTime
applicationCategory,Application Category,"Type of software application, e.g. ""Game, Multimedia"".",SoftwareApplication,Text URL
oponent,Oponent,A sub property of participant. The oponent on this action.,ExerciseAction,Person
employee,Employee,Someone working for this organization.,Organization,Person
priceRange,Price Range,"The price range of the business, for example <code>$$$</code>.",LocalBusiness,Text
embedUrl,Embed Url,"A URL pointing to a player for a specific video. In general, this is the information in the <code>src</code> element of an <code>embed</code> tag and should not be the same as the content of the <code>loc</code> tag. (previous spelling: embedURL)",MediaObject,URL
fiberContent,Fiber Content,The number of grams of fiber.,NutritionInformation,Mass
printEdition,Print Edition,The edition of the print product in which the NewsArticle appears.,NewsArticle,Text
reviewCount,Review Count,The count of total number of reviews.,AggregateRating,Number
jobTitle,Job Title,"The job title of the person (for example, Financial Manager).",Person,Text
blogPost,Blog Post,A posting that is part of this blog.,Blog,BlogPosting
containedIn,Contained in,The basic containment relation between places.,Place,Place
offerCount,Offer Count,The number of offers for the product.,AggregateOffer,Integer
drugUnit,Drug Unit,"The unit in which the drug is measured, e.g. '5 mg tablet'.",DrugCost,Text
recommendationStrength,Recommendation Strength,Strength of the guideline's recommendation (e.g. 'class I').,MedicalGuidelineRecommendation,Text
itemCondition,Item Condition,"A predefined value from OfferItemCondition or a textual description of the condition of the product or service, or the products or services included in the offer.",Product Offer Demand,OfferItemCondition
borrower,Borrower,A sub property of participant. The person that borrows the object being lent.,LendAction,Person
assemblyVersion,Assembly Version,"Associated product/technology version. e.g., .NET Framework 4.5",APIReference,Text
buyer,Buyer,A sub property of participant. The participant/person/organization that bought the object.,SellAction,Person
partOfSystem,Part of System,The anatomical or organ system that this structure is part of.,AnatomicalStructure,AnatomicalSystem
geo,Geo,The geo coordinates of the place.,Place,GeoCoordinates GeoShape
antagonist,Antagonist,The muscle whose action counteracts the specified muscle.,Muscle,Muscle
overdosage,Overdosage,"Any information related to overdose on a drug, including signs or symptoms, treatments, contact information for emergency response.",Drug,Text
episodes,Episodes,"An episode of a TV/radio series or season (legacy spelling; see singular form, episode)",Series Season,Episode
thumbnail,Thumbnail,Thumbnail image for an image or video.,VideoObject ImageObject,ImageObject
subtype,Subtype,"A more specific type of the condition, where applicable, for example 'Type 1 Diabetes', 'Type 2 Diabetes', or 'Gestational Diabetes' for Diabetes.",MedicalCondition,Text
requiredMaxAge,Required Max Age,Audiences defined by a person's maximum age.,PeopleAudience,Integer
accessibilityControl,Accessibility Control,"Identifies input methods that are sufficient to fully control the described resource (<a href=""http://www.w3.org/wiki/WebSchemas/Accessibility"">WebSchemas wiki lists possible values</a>).",CreativeWork,Text
source,Source,The anatomical or organ system that the artery originates from.,Artery,AnatomicalStructure
landlord,Landlord,A sub property of participant. The owner of the real estate property. Sub property of destination or participant?,RentAction,Organization Person
endTime,End Time,When the Action was performed: end time. This is for actions that span a period of time. e.g. John wrote a book from January to *December*.,Action,DateTime
acceptsReservations,Accepts Reservations,"Either <code>Yes/No</code>, or a URL at which reservations can be made.",FoodEstablishment,Text URL
articleBody,Article Body,The actual body of the article.,Article,Text
valueReference,Value Reference,"A pointer to a secondary value that provides additional information on the original value, e.g. a reference temperature.",QualitativeValue QuantitativeValue,Enumeration StructuredValue
aspect,Aspect,"An aspect of medical practice that is considered on the page, such as 'diagnosis', 'treatment', 'causes', 'prognosis', 'etiology', 'epidemiology', etc.",MedicalWebPage,Text
creator,Creator,The creator/author of this CreativeWork or UserComments. This is the same as the Author property for CreativeWork.,UserComments CreativeWork,Organization Person
lastReviewed,Last Reviewed,Date on which the content on this web page was last reviewed for accuracy and/or completeness.,WebPage,Date
foundingDate,Founding Date,The date that this organization was founded.,Organization,Date
intensity,Intensity,"Quantitative measure gauging the degree of force involved in the exercise, for example, heartbeats per minute. May include the velocity of the movement.",ExercisePlan,Text
additionalName,Additional Name,"An additional name for a Person, can be used for a middle name.",Person,Text
targetProduct,Target Product,"Target Operating System / Product to which the code applies.  If applies to several versions, just the product name can be used.",Code,SoftwareApplication
doorTime,Door Time,The time admission will commence.,Event,DateTime
fileFormat,File Format,MIME format of the binary (e.g. application/zip).,SoftwareApplication,Text
closes,Closes,The closing hour of the place or service on the given day(s) of the week.,OpeningHoursSpecification,Time
drainsTo,Drains to,The vasculature that the vein drains into.,Vein,Vessel
codeValue,Code Value,The actual code.,MedicalCode,Text
duplicateTherapy,Duplicate Therapy,A therapy that duplicates or overlaps this one.,MedicalTherapy,MedicalTherapy
discussionUrl,Discussion Url,A link to the page containing the comments of the CreativeWork.,CreativeWork,URL
runtime,Runtime,"Runtime platform or script interpreter dependencies (Example - Java v1, Python2.3, .Net Framework 3.0)",Code,Text
functionalClass,Functional Class,The degree of mobility the joint allows.,Joint,Text
isFamilyFriendly,Is Family Friendly,Indicates whether this content is family friendly.,CreativeWork,Boolean
differentialDiagnosis,Differential Diagnosis,"One of a set of differential diagnoses for the condition. Specifically, a closely-related or competing diagnosis typically considered later in the cognitive process whereby this medical condition is distinguished from others most likely responsible for a similar collection of signs and symptoms to reach the most parsimonious diagnosis or diagnoses in a patient.",MedicalCondition,DDxElement
deliveryStatus,Delivery Status,New entry added as the package passes through each leg of its journey (from shipment to final delivery).,ParcelDelivery,DeliveryEvent
pregnancyWarning,Pregnancy Warning,"Any precaution, guidance, contraindication, etc. related to this drug's use during pregnancy.",Drug,Text
audienceType,Audience Type,"The target group associated with a given audience (e.g. veterans, car owners, musicians, etc.)
      domain: Audience
      Range: Text
    ",Audience,Text
author,Author,The author of this content. Please note that author is special in that HTML 5 provides a special mechanism for indicating authorship via the rel tag. That is equivalent to this and may be used interchangeably.,CreativeWork,Organization Person
accessibilityHazard,Accessibility Hazard,"A characteristic of the described resource that is physiologically dangerous to some users. Related to WCAG 2.0 guideline 2.3. (<a href=""http://www.w3.org/wiki/WebSchemas/Accessibility"">WebSchemas wiki lists possible values</a>)",CreativeWork,Text
email,Email,Email address.,Person ContactPoint Organization,Text
parent,Parent,A parent of this person.,Person,Person
significantLinks,Significant Links,"The most significant URLs on the page. Typically, these are the non-navigation links that are clicked on the most (legacy spelling; see singular form, significantLink).",WebPage,URL
relatedTherapy,Related Therapy,A medical therapy related to this anatomy.,SuperficialAnatomy AnatomicalSystem AnatomicalStructure,MedicalTherapy
cookingMethod,Cooking Method,"The method of cooking, such as Frying, Steaming, ...",Recipe,Text
awards,Awards,"Awards won by this person or for this creative work. (legacy spelling; see singular form, award)",Person CreativeWork,Text
fileSize,File Size,"Size of the application / package (e.g. 18MB). In the absence of a unit (MB, KB etc.), KB will be assumed.",SoftwareApplication,Integer
genre,Genre,Genre of the creative work,CreativeWork,Text
nationality,Nationality,Nationality of the person.,Person,Country
tickerSymbol,Ticker Symbol,"The exchange traded instrument associated with a Corporation object. The tickerSymbol is expressed as an exchange and an instrument name separated by a space character. For the exchange component of the tickerSymbol attribute, we reccommend using the controlled vocaulary of Market Identifier Codes (MIC) specified in ISO15022.",Corporation,Text
serviceLocation,Service Location,"The location (e.g. civic structure, local business, etc.) where a person can go to access the service.",ServiceChannel,Place
strengthUnit,Strength Unit,"The units of an active ingredient's strength, e.g. mg.",DrugStrength,Text
itemListElement,Item List Element,A single list item.,ItemList,Text
equal,Equal,This ordering relation for qualitative values indicates that the subject is equal to the object.,QualitativeValue,QualitativeValue
drug,Drug,A drug in this drug class.,DrugClass,Drug
cookTime,Cook Time,"The time it takes to actually cook the dish, in <a href=""http://en.wikipedia.org/wiki/ISO_8601"">ISO 8601 duration format</a>.",Recipe,Duration
itemOffered,Item Offered,The item being offered.,Offer Demand,Product
isProprietary,Is Proprietary,True if this item's name is a proprietary/brand name (vs. generic name).,DietarySupplement Drug,Boolean
comment,Comment,"Comments, typically from users, on this CreativeWork.",CreativeWork,UserComments
numberOfSeasons,Number of Seasons,The number of seasons in this series.,Series,Number
color,Color,The color of the product.,Product,Text
overview,Overview,"Descriptive information establishing the overarching theory/philosophy of the plan. May include the rationale for the name, the population where the plan first came to prominence, etc.",Diet,Text
adverseOutcome,Adverse Outcome,"A possible complication and/or side effect of this therapy. If it is known that an adverse outcome is serious (resulting in death, disability, or permanent damage; requiring hospitalization; or is otherwise life-threatening or requires immediate medical attention), tag it as a seriouseAdverseOutcome instead.",MedicalDevice MedicalTherapy,MedicalEntity
birthDate,Birth Date,Date of birth.,Person,Date
height,Height,The height of the item.,MediaObject Product,Distance QuantitativeValue
aggregateRating,Aggregate Rating,"The overall rating, based on a collection of reviews or ratings, of the item.",Organization Product CreativeWork Place Offer,AggregateRating
geographicArea,Geographic Area,The geographic area associated with the audience.,Audience,AdministrativeArea
contactType,Contact Type,"A person or organization can have different contact points, for different purposes. For example, a sales contact point, a PR contact point and so on. This property is used to specify the kind of contact point.",ContactPoint,Text
associatedAnatomy,Associated Anatomy,The anatomy of the underlying organ system or structures associated with this entity.,MedicalCondition PhysicalActivity,AnatomicalSystem SuperficialAnatomy AnatomicalStructure
articleSection,Article Section,"Articles may belong to one or more 'sections' in a magazine or newspaper, such as Sports, Lifestyle, etc.",Article,Text
relatedLink,Related Link,"A link related to this web page, for example to other related web pages.",WebPage,URL
includesObject,Includes Object,This links to a node or nodes indicating the exact quantity of the products included in the offer.,Offer Demand,TypeAndQuantityNode
instrument,Instrument,The object that helped the agent perform the action. e.g. John wrote a book with *a pen*.,Action,Thing
childMaxAge,Child Max Age,Maximal age of the child,ParentAudience,Number
bookEdition,Book Edition,The edition of the book.,Book,Text
targetDescription,Target Description,The description of a node in an established educational framework.,AlignmentObject,Text
followup,Followup,Typical or recommended followup care after the procedure is performed.,MedicalProcedure,Text
bodyLocation,Body Location,Location in the body of the anatomical structure.,AnatomicalStructure,Text
publisher,Publisher,The publisher of the creative work.,CreativeWork,Organization
physiologicalBenefits,Physiological Benefits,Specific physiologic benefits associated to the plan.,Diet,Text
infectiousAgent,Infectious Agent,"The actual infectious agent, such as a specific bacterium.",InfectiousDisease,Text
founders,Founders,"A person who founded this organization (legacy spelling; see singular form, founder).",Organization,Person
copyrightHolder,Copyright Holder,The party holding the legal copyright to the CreativeWork.,CreativeWork,Organization Person
prescribingInfo,Prescribing Info,Link to prescribing information for the drug.,Drug,URL
inAlbum,In Album,The album to which this recording belongs.,MusicRecording,MusicAlbum
availableStrength,Available Strength,An available dosage strength for the drug.,Drug,DrugStrength
isVariantOf,Is Variant of,"A pointer to a base product from which this product is a variant. It is safe to infer that the variant inherits all product features from the base model, unless defined locally. This is not transitive.",ProductModel,ProductModel
replacer,Replacer,A sub property of object. The object that replaces.,ReplaceAction,Thing
orderDate,Order Date,Date order was placed.,Order,DateTime
lowPrice,Low Price,The lowest price of all offers available.,AggregateOffer,Number Text
bookFormat,Book Format,The format of the book.,Book,BookFormatType
serviceOperator,Service Operator,"The operating organization, if different from the provider.  This enables the representation of services that are provided by an organization, but operated by another organization like a subcontractor.",GovernmentService,Organization
lesser,Lesser,This ordering relation for qualitative values indicates that the subject is lesser than the object.,QualitativeValue,QualitativeValue
learningResourceType,Learning Resource Type,"The predominant type or kind characterizing the learning resource. For example, 'presentation', 'handout'.",CreativeWork,Text
replacee,Replacee,A sub property of object. The object that is being replaced.,ReplaceAction,Thing
legalName,Legal Name,"The official name of the organization, e.g. the registered company name.",Organization,Text
expectedPrognosis,Expected Prognosis,The likely outcome in either the short term or long term of the medical condition.,MedicalCondition,Text
domainIncludes,Domain Includes,Relates a property to a class that is (one of) the type(s) the property is expected to be used on.,Property,Class
procedure,Procedure,"A description of the procedure involved in setting up, using, and/or installing the device.",MedicalDevice,Text
orderedItem,Ordered Item,The item ordered.,Order,Product
isAccessoryOrSparePartFor,Is Accessory or Spare Part for,A pointer to another product (or multiple products) for which this product is an accessory or spare part.,Product,Product
ownedFrom,Owned From,The date and time of obtaining the product.,OwnershipInfo,DateTime
ratingCount,Rating Count,The count of total number of ratings.,AggregateRating,Number
telephone,Telephone,The telephone number.,Person ContactPoint Place Organization,Text
costPerUnit,Cost Per Unit,The cost per unit of the drug.,DrugCost,Number Text
studyLocation,Study Location,The location in which the study is taking/took place.,MedicalStudy,AdministrativeArea
carbohydrateContent,Carbohydrate Content,The number of grams of carbohydrates.,NutritionInformation,Mass
vendor,Vendor,A sub property of participant. The seller.The participant/person/organization that sold the object.,BuyAction,Organization Person
applicationSubCategory,Application Sub Category,"Subcategory of the application, e.g. ""Arcade Game"".",SoftwareApplication,Text URL
dietFeatures,Diet Features,"Nutritional information specific to the dietary plan. May include dietary recommendations on what foods to avoid, what foods to consume, and specific alterations/deviations from the USDA or other regulatory body's approved dietary guidelines.",Diet,Text
infectiousAgentClass,Infectious Agent Class,"The class of infectious agent (bacteria, prion, etc.) that causes the disease.",InfectiousDisease,InfectiousAgentClass
inventoryLevel,Inventory Level,The current approximate inventory level for the item or items.,SomeProducts Offer Demand,QuantitativeValue
participant,Participant,Other co-agents that participated in the action indirectly. e.g. John wrote a book with *Steve*.,Action,Organization Person
servicePhone,Service Phone,The phone number to use to access the service.,ServiceChannel,ContactPoint
employmentType,Employment Type,"Type of employment (e.g. full-time, part-time, contract, temporary, seasonal, internship).",JobPosting,Text
doseSchedule,Dose Schedule,"A dosing schedule for the drug for a given population, either observed, recommended, or maximum dose based on the type used.",Drug,DoseSchedule
contactOption,Contact Option,An option available on this contact point (e.g. a toll-free number or support for hearing-impaired callers.),ContactPoint,ContactPointOption
valueAddedTaxIncluded,Value Added Tax Included,Specifies whether the applicable value-added tax (VAT) is included in the price specification or not.,PriceSpecification,Boolean
member,Member,A member of this organization.,Organization,Organization Person
amountOfThisGood,Amount of This Good,The quantity of the goods included in the offer.,TypeAndQuantityNode,Number
postalCode,Postal Code,"The postal code. For example, 94043.",PostalAddress,Text
comprisedOf,Comprised of,"The underlying anatomical structures, such as organs, that comprise the anatomical system.",AnatomicalSystem,AnatomicalStructure AnatomicalSystem
productID,Product ID,"The product identifier, such as ISBN. For example: <code>&lt;meta itemprop='productID' content='isbn:123-456-789'/&gt;</code>.",Product,Text
homeLocation,Home Location,A contact location for a person's residence.,Person,ContactPoint Place
events,Events,"Upcoming or past events associated with this place or organization (legacy spelling; see singular form, event).",Organization Place,Event
itemReviewed,Item Reviewed,The item that is being reviewed/rated.,AggregateRating Review,Thing
status,Status,The status of the study (enumerated).,MedicalStudy,MedicalStudyStatus
serviceType,Service Type,"The type of service being offered, e.g. veterans' benefits, emergency relief, etc.",Service,Text
specialCommitments,Special Commitments,"Any special commitments associated with this job posting. Valid entries include VeteranCommit, MilitarySpouseCommit, etc.",JobPosting,Text
screenshot,Screenshot,A link to a screenshot image of the app.,SoftwareApplication,ImageObject URL
realEstateAgent,Real Estate Agent,A sub property of participant. The real estate agent involved in the action.,RentAction,RealEstateAgent
familyName,Family Name,"Family name. In the U.S., the last name of an Person. This can be used along with givenName instead of the Name property.",Person,Text
qualifications,Qualifications,Specific qualifications required for this role.,JobPosting,Text
deliveryMethod,Delivery Method,A sub property of instrument. The method of delivery,ReceiveAction TrackAction SendAction,DeliveryMethod
entertainmentBusiness,Entertainment Business,A sub property of location. The entertainment business where the action occurred.,PerformAction,EntertainmentBusiness
paymentUrl,Payment Url,The URL for sending a payment.,Order,URL
director,Director,"The director of the movie, tv/radio episode or series.",Series Episode Movie,Person
evidenceLevel,Evidence Level,Strength of evidence of the data used to formulate the guideline (enumerated).,MedicalGuideline,MedicalEvidenceLevel
servesCuisine,Serves Cuisine,The cuisine of the restaurant.,FoodEstablishment,Text
providesService,Provides Service,The service provided by this channel.,ServiceChannel,Service
purpose,Purpose,A goal towards an action is taken. Can be concrete or abstract.,AllocateAction MedicalDevice PayAction,Thing MedicalDevicePurpose
deathDate,Death Date,Date of death.,Person,Date
playerType,Player Type,"Player type required—for example, Flash or Silverlight.",MediaObject,Text
permitAudience,Permit Audience,The target audience for this permit.,Permit,Audience
rangeIncludes,Range Includes,Relates a property to a class that constitutes (one of) the expected type(s) for values of the property.,Property,Class
discountCode,Discount Code,Code used to redeem a discount.,Order,Text
mechanismOfAction,Mechanism of Action,The specific biochemical interaction through which this drug or supplement produces its pharmacological effect.,DietarySupplement Drug,Text
eventStatus,Event Status,An eventStatus of an event represents its status; particularly useful when an event is cancelled or rescheduled.,Event,EventStatusType
position,Position,Free text to define other than pure numerical ranking of an episode or a season in an ordered list of items (further formatting restrictions may apply within particular user groups).,Season Episode Clip,Text
model,Model,The model of the product. Use with the URL of a ProductModel or a textual representation of the model identifier. The URL of the ProductModel can be from an external source. It is recommended to additionally provide strong product identifiers via the gtin8/gtin13/gtin14 and mpn properties.,Product,ProductModel Text
audio,Audio,An embedded audio object.,CreativeWork,AudioObject
alumniOf,Alumni of,An educational organizations that the person is an alumni of.,Person,EducationalOrganization
procedureType,Procedure Type,"The type of procedure, for example Surgical, Noninvasive, or Percutaneous.",MedicalProcedure,MedicalProcedureType
endDate,End Date,"The end date and time of the event or item (in <a href=""http://en.wikipedia.org/wiki/ISO_8601"">ISO 8601 date format</a>).",Series Event Season,Date
photo,Photo,A photograph of this place.,Place,ImageObject Photograph
recipeCuisine,Recipe Cuisine,"The cuisine of the recipe (for example, French or Ethopian).",Recipe,Text
originatesFrom,Originates From,"The vasculature the lymphatic structure originates, or afferents, from.",LymphaticVessel,Vessel
primaryPrevention,Primary Prevention,"A preventative therapy used to prevent an initial occurrence of the medical condition, such as vaccination.",MedicalCondition,MedicalTherapy
warrantyPromise,Warranty Promise,The warranty promise(s) included in the offer.,SellAction BuyAction,WarrantyPromise
itemListOrder,Item List Order,"Type of ordering (e.g. Ascending, Descending, Unordered).",ItemList,Text
workLocation,Work Location,A contact location for a person's place of work.,Person,ContactPoint Place
foodEstablishment,Food Establishment,A sub property of location. The specific food establishment where the action occurreed.,CookAction,FoodEstablishment Place
sku,Sku,"The Stock Keeping Unit (SKU), i.e. a merchant-specific identifier for a product or service, or the product to which the offer refers.",Product Offer Demand,Text
candidate,Candidate,A sub property of object. The candidate subject of this action.,VoteAction,Person
acceptedOffer,Accepted Offer,"The offer(s) -- e.g., product, quantity and price combinations -- included in the order.",Order,Offer
lender,Lender,A sub property of participant. The person that lends the object being borrowed.,BorrowAction,Person
associatedArticle,Associated Article,A NewsArticle associated with the Media Object.,MediaObject,NewsArticle
parents,Parents,"A parents of the person (legacy spelling; see singular form, parent).",Person,Person
location,Location,"The location of the event, organization or action.",Action Organization Event,PostalAddress Place
cholesterolContent,Cholesterol Content,The number of milligrams of cholesterol.,NutritionInformation,Mass
studySubject,Study Subject,"A subject of the study, i.e. one of the medical conditions, therapies, devices, drugs, etc. investigated by the study.",MedicalStudy,MedicalEntity
elevation,Elevation,The elevation of a location.,GeoShape GeoCoordinates,Text Number
repetitions,Repetitions,Number of times one should repeat the activity.,ExercisePlan,Number
originAddress,Origin Address,Shipper's address.,ParcelDelivery,PostalAddress
validThrough,Valid Through,"The end of the validity of offer, price specification, or opening hours data.",OpeningHoursSpecification Demand PriceSpecification Offer,DateTime
background,Background,"Descriptive information establishing a historical perspective on the supplement. May include the rationale for the name, the population where the supplement first came to prominence, etc.",DietarySupplement,Text
subOrganization,Sub Organization,"A relationship between two organizations where the first includes the second, e.g., as a subsidiary. See also: the more specific 'department' property.",Organization,Organization
runsTo,Runs to,"The vasculature the lymphatic structure runs, or efferents, to.",LymphaticVessel,Vessel
recipient,Recipient,A sub property of participant. The participant who is at the receiving end of the action.,DonateAction ReturnAction GiveAction CommunicateAction PayAction SendAction TipAction AuthorizeAction,Organization Audience Person
